campaign,sample_id,n_scans,role,material,dose_mg,label_claim_pct,api_pct_ww,first_date,qc_flag
C01_2024-01_FORMULATION,C01_S10_490mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),490.0,,84.12017167381974,2024-01-16 16:02,
C01_2024-01_FORMULATION,C01_S11_500mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),500.0,,84.38818565400844,2024-01-16 16:10,
C01_2024-01_FORMULATION,C01_S12_510mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),510.0,,84.64730290456431,2024-01-16 16:29,
C01_2024-01_FORMULATION,C01_S13_520mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),520.0,,84.89795918367348,2024-01-16 16:40,
C01_2024-01_FORMULATION,C01_S14_530mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),530.0,,85.14056224899598,2024-01-16 17:03,
C01_2024-01_FORMULATION,C01_S15_540mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),540.0,,85.37549407114625,2024-01-16 17:13,
C01_2024-01_FORMULATION,C01_S16_550mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),550.0,,85.60311284046693,2024-01-16 17:37,
C01_2024-01_FORMULATION,C01_S17_560mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),560.0,,85.82375478927203,2024-01-16 17:45,
C01_2024-01_FORMULATION,C01_S18_570mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),570.0,,86.03773584905662,2024-01-16 17:53,
C01_2024-01_FORMULATION,C01_S19_580mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),580.0,,86.24535315985129,2024-01-17 14:19,
C01_2024-01_FORMULATION,C01_S01_400mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),400.0,,81.21827411167513,2024-01-16 14:03,
C01_2024-01_FORMULATION,C01_S20_590mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),590.0,,86.44688644688645,2024-01-17 14:31,
C01_2024-01_FORMULATION,C01_S21_600mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),600.0,,86.64259927797833,2024-01-17 14:39,
C01_2024-01_FORMULATION,C01_S22_610mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),610.0,,86.83274021352314,2024-01-17 17:32,
C01_2024-01_FORMULATION,C01_S23_620mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),620.0,,87.01754385964911,2024-01-17 17:41,
C01_2024-01_FORMULATION,C01_S24_630mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),630.0,,87.19723183391004,2024-01-17 17:50,
C01_2024-01_FORMULATION,C01_S25_640mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),640.0,,87.37201365187714,2024-01-17 18:11,
C01_2024-01_FORMULATION,C01_S26_650mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),650.0,,87.54208754208754,2024-01-17 18:23,
C01_2024-01_FORMULATION,C01_S27_660mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),660.0,,87.7076411960133,2024-01-18 14:42,
C01_2024-01_FORMULATION,C01_S28_670mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),670.0,,87.8688524590164,2024-01-18 14:50,
C01_2024-01_FORMULATION,C01_S29_680mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),680.0,,88.02588996763754,2024-01-18 15:11,
C01_2024-01_FORMULATION,C01_S02_410mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),410.0,,81.59203980099504,2024-01-16 14:11,
C01_2024-01_FORMULATION,C01_S30_690mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),690.0,,88.17891373801916,2024-01-18 15:23,
C01_2024-01_FORMULATION,C01_S31_700mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),700.0,,88.32807570977918,2024-01-18 15:45,
C01_2024-01_FORMULATION,C01_S32_750mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),750.0,,89.02077151335313,2024-01-18 15:59,
C01_2024-01_FORMULATION,C01_S33_800mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),800.0,,89.6358543417367,2024-01-18 16:15,
C01_2024-01_FORMULATION,C01_S34_850mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),850.0,,90.18567639257294,2024-01-18 16:25,
C01_2024-01_FORMULATION,C01_S35_900mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),900.0,,90.68010075566751,2024-01-18 16:32,
C01_2024-01_FORMULATION,C01_S36_950mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),950.0,,91.12709832134293,2024-01-18 16:49,
C01_2024-01_FORMULATION,C01_S37_1000mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),1000.0,,91.53318077803205,2024-01-18 16:57,
C01_2024-01_FORMULATION,C01_S38_1050mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),1050.0,,91.90371991247265,2024-01-18 17:04,
C01_2024-01_FORMULATION,C01_S39_1100mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),1100.0,,92.24318658280923,2024-01-18 17:12,
C01_2024-01_FORMULATION,C01_S03_420mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),420.0,,81.95121951219512,2024-01-16 14:20,
C01_2024-01_FORMULATION,C01_S40_1150mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),1150.0,,92.5553319919517,2024-01-18 17:32,
C01_2024-01_FORMULATION,C01_S41_1200mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),1200.0,,92.84332688588007,2024-01-18 17:38,
C01_2024-01_FORMULATION,C01_S04_430mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),430.0,,82.29665071770336,2024-01-16 14:37,
C01_2024-01_FORMULATION,C01_S05_440mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),440.0,,82.62910798122066,2024-01-16 14:47,
C01_2024-01_FORMULATION,C01_S06_450mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),450.0,,82.94930875576037,2024-01-16 15:19,
C01_2024-01_FORMULATION,C01_S07_460mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),460.0,,83.25791855203622,2024-01-16 15:28,
C01_2024-01_FORMULATION,C01_S08_470mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),470.0,,83.55555555555556,2024-01-16 15:36,
C01_2024-01_FORMULATION,C01_S09_480mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),480.0,,83.84279475982534,2024-01-16 15:54,
C02_2024-04_FORMULATION,C02_S16_550mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),550.0,,85.60311284046693,2024-04-04 15:32,
C02_2024-04_FORMULATION,C02_S17_560mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),560.0,,85.82375478927203,2024-04-04 15:55,
C02_2024-04_FORMULATION,C02_S18_570mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),570.0,,86.03773584905662,2024-04-04 16:11,
C02_2024-04_FORMULATION,C02_S19_580mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),580.0,,86.24535315985129,2024-04-04 16:26,
C02_2024-04_FORMULATION,C02_S20_590mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),590.0,,86.44688644688645,2024-04-04 16:42,
C02_2024-04_FORMULATION,C02_S21_600mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),600.0,,86.64259927797833,2024-04-04 16:58,
C02_2024-04_FORMULATION,C02_S22_610mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),610.0,,86.83274021352314,2024-04-04 17:15,
C02_2024-04_FORMULATION,C02_S23_620mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),620.0,,87.01754385964911,2024-04-04 17:31,
C02_2024-04_FORMULATION,C02_S24_630mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),630.0,,87.19723183391004,2024-04-04 17:48,
C02_2024-04_FORMULATION,C02_S25_640mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),640.0,,87.37201365187714,2024-04-04 18:04,
C02_2024-04_FORMULATION,C02_S26_650mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),650.0,,87.54208754208754,2024-04-04 18:20,
C02_2024-04_FORMULATION,C02_S27_660mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),660.0,,87.7076411960133,2024-04-04 19:09,
C02_2024-04_FORMULATION,C02_S28_670mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),670.0,,87.8688524590164,2024-04-04 19:31,
C02_2024-04_FORMULATION,C02_S29_680mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),680.0,,88.02588996763754,2024-04-05 12:55,
C02_2024-04_FORMULATION,C02_S30_690mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),690.0,,88.17891373801916,2024-04-05 13:15,
C02_2024-04_FORMULATION,C02_S31_700mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),700.0,,88.32807570977918,2024-04-05 13:36,
C02_2024-04_FORMULATION,C02_S32_710mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),710.0,,88.4735202492212,2024-04-05 14:09,
C02_2024-04_FORMULATION,C02_S33_720mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),720.0,,88.61538461538461,2024-04-05 14:25,
C02_2024-04_FORMULATION,C02_S34_730mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),730.0,,88.75379939209728,2024-04-05 14:41,
C02_2024-04_FORMULATION,C02_S35_740mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),740.0,,88.8888888888889,2024-04-05 14:55,
C02_2024-04_FORMULATION,C02_S36_750mg,16,calibration,formulation (API + MCC/PVP/CaSt/talc/MgSt),750.0,,89.02077151335313,2024-04-05 15:21,
C03_2025-03-05_FIELD_TEST,C03_600mg,253,field_test,formulation (assumed; not documented),600.0,,,2025-03-05 03:13:33 PM,composition undocumented; logged prediction far from reference
C03_2025-03-05_FIELD_TEST,C03_550mg,111,field_test,formulation (assumed; not documented),550.0,,,2025-03-05 04:46:16 PM,composition undocumented; logged prediction far from reference
