ModelNo=C14486GA
UnitID=P1221018
SerialNo=422OI010
Date=4/4/2024 5:03:15 PM
ExposureTime=35000
WavelengthConversionFactorA0=888.7055243
WavelengthConversionFactorB1=3.73041219
WavelengthConversionFactorB2=-0.001912765582
WavelengthConversionFactorB3=4.388701961E-06
WavelengthConversionFactorB4=-3.680172893E-08
WavelengthConversionFactorB5=6.908522057E-11
Gain=0
TriggerMode=0
AverageCount=4
DataNum=1
CycleTime=37000
Transfer=1
AllocateBuffer=1000
Option=0
PixelCount=256
RepeatCount=1

Pixel,WaveLength,dark,ref,1
Time,,,,187.00
1,892.434028076387,4228,4590,4572
2,896.158732140671,4434,4823,4790
3,899.879661510563,4595,4990,4964
4,903.596840337114,4046,4468,4431
5,907.310291913006,4878,5291,5269
6,911.020038680838,4174,4612,4587
7,914.726102241419,4277,4731,4695
8,918.428503362059,4692,5161,5126
9,922.127261984857,4043,4527,4491
10,925.822397234994,4489,4978,4942
11,929.513927429019,4424,4951,4913
12,933.201870083143,4473,5073,5031
13,936.886241921529,4108,4906,4848
14,940.56705888458,4472,5755,5650
15,944.244336137231,4355,6602,6431
16,947.918088077237,4214,8016,7722
17,951.588328343469,4356,10298,9861
18,955.255069824194,4526,12898,12291
19,958.918324665378,4383,15313,14515
20,962.578104278965,4430,17736,16762
21,966.234419351173,4429,19634,18536
22,969.887279850784,4141,20973,19742
23,973.536695037432,4444,22493,21172
24,977.182673469895,3981,22987,21576
25,980.825223014385,4451,23995,22526
26,984.464350852837,4462,24552,23024
27,988.100063491201,4242,24727,23122
28,991.732366767732,4194,24999,23353
29,995.361265861278,4388,25540,23853
30,998.986765299573,4650,26054,24339
31,1002.60886896753,4356,26142,24386
32,1006.22758011551,4136,26027,24265
33,1009.84290136766,4761,27011,25215
34,1013.45483473014,4357,26760,24928
35,1017.06338159947,4600,27344,25468
36,1020.66854277079,4237,27129,25235
37,1024.27031844614,4553,27639,25720
38,1027.8687082428,4244,27688,25720
39,1031.46371120151,3958,27541,25535
40,1035.05532579483,4330,28153,26108
41,1038.64354993537,4314,28213,26142
42,1042.22838098412,4561,28686,26561
43,1045.80981575874,4005,28160,26004
44,1049.38785054181,4524,28919,26692
45,1052.96248108917,4295,28895,26637
46,1056.53370263818,4398,28785,26528
47,1060.10150991603,4272,28755,26496
48,1063.66589714799,4375,28723,26463
49,1067.22685806577,4369,28742,26459
50,1070.78438591574,4256,28398,26137
51,1074.33847346726,4846,28965,26717
52,1077.88911302094,4267,28256,26025
53,1081.436296417,4596,28426,26216
54,1084.98001504345,4261,28118,25883
55,1088.52025984448,4442,28368,26129
56,1092.0570213287,4564,28515,26249
57,1095.59028957743,4369,28599,26267
58,1099.12005425303,4247,28757,26349
59,1102.64630460712,4192,28895,26423
60,1106.16902948896,4684,29608,27002
61,1109.68821735365,4587,29793,26916
62,1113.20385627047,4543,29887,26679
63,1116.71593393119,4240,29827,26500
64,1120.22443765831,4603,30396,27094
65,1123.72935441336,4364,30112,26740
66,1127.23067080524,4572,30482,26813
67,1130.72837309843,4329,30352,26287
68,1134.22244722137,4163,30144,25774
69,1137.71287877466,4713,30839,26391
70,1141.19965303943,4152,30071,25951
71,1144.68275498556,4420,30297,26470
72,1148.16216928003,4248,29973,26391
73,1151.63788029517,4493,29987,26592
74,1155.10987211699,4286,29678,26318
75,1158.5781285534,4149,29545,26186
76,1162.04263314259,4273,29797,26336
77,1165.50336916126,4285,29819,26256
78,1168.96031963291,4313,30211,26544
79,1172.41346733616,4509,30779,27003
80,1175.86279481302,4492,31057,27229
81,1179.30828437721,4203,30904,27027
82,1182.74991812239,4542,31645,27726
83,1186.18767793052,4206,31436,27617
84,1189.62154548008,4417,31772,28082
85,1193.05150225444,4379,31665,28159
86,1196.47752955008,4298,31674,28252
87,1199.89960848491,4651,31969,28642
88,1203.31772000657,4511,31812,28510
89,1206.73184490069,4384,31599,28303
90,1210.14196379922,4282,31497,28193
91,1213.54805718867,4128,31216,27923
92,1216.95010541847,4576,31608,28303
93,1220.34808870918,4605,31683,28322
94,1223.74198716084,4373,31543,28155
95,1227.13178076123,4039,31267,27922
96,1230.51744939419,4474,31873,28568
97,1233.89897284785,4707,32287,29037
98,1237.276330823,4321,31990,28732
99,1240.64950294132,4575,32427,29144
100,1244.0184687537,4552,32575,29246
101,1247.38320774851,4344,32577,29182
102,1250.74369935992,4082,32445,28989
103,1254.09992297615,4407,32861,29326
104,1257.45185794778,4549,32979,29358
105,1260.79948359608,4505,32896,29225
106,1264.14277922121,4383,32670,29006
107,1267.4817241106,4354,32682,29000
108,1270.81629754718,4325,32670,28985
109,1274.14647881772,4451,32834,29137
110,1277.47224722105,4562,32811,29093
111,1280.79358207644,4554,33000,29244
112,1284.11046273181,4241,32577,28797
113,1287.42286857207,4443,32833,28998
114,1290.73077902738,4267,32436,28598
115,1294.03417358148,4851,32996,29149
116,1297.33303177993,4228,32304,28395
117,1300.62733323843,4555,32484,28539
118,1303.91705765111,4429,32289,28279
119,1307.2021847988,4518,32386,28349
120,1310.48269455737,4193,31840,27822
121,1313.75856690595,4463,32209,28156
122,1317.02978193526,4397,32026,27985
123,1320.29631985592,4230,31585,27606
124,1323.55816100669,4178,31488,27583
125,1326.81528586281,4230,31546,27639
126,1330.06767504423,4375,31658,27717
127,1333.31530932398,4394,31586,27609
128,1336.55816963639,4399,31473,27486
129,1339.79623708542,4424,31452,27440
130,1343.02949295293,4445,31396,27361
131,1346.25791870697,4412,31219,27112
132,1349.4814960101,4478,31206,26983
133,1352.70020672764,4016,30300,26009
134,1355.91403293599,3845,29747,25403
135,1359.12295693089,4911,30507,26165
136,1362.32696123576,4331,29620,25292
137,1365.52602860993,4227,29710,25314
138,1368.72014205696,4210,29752,25240
139,1371.90928483296,4302,29886,25262
140,1375.09344045482,4420,30231,25458
141,1378.27259270854,4550,29773,25052
142,1381.4467256575,4292,28604,24088
143,1384.61582365079,4449,29145,24549
144,1387.77987133144,4666,29440,24751
145,1390.93885364474,4371,28873,23954
146,1394.09275584657,4135,28259,23546
147,1397.2415635116,4580,28675,23955
148,1400.38526254166,4199,27956,23306
149,1403.52383917401,4608,28407,23726
150,1406.6572799896,4270,28017,23329
151,1409.78557192139,4224,28010,23320
152,1412.90870226263,4277,28269,23538
153,1416.02665867517,4481,28523,23766
154,1419.13942919772,4376,28527,23701
155,1422.24700225414,4612,28813,23912
156,1425.34936666176,4371,28500,23524
157,1428.44651163966,4391,28336,23336
158,1431.53842681693,4218,28034,23027
159,1434.62510224101,4576,28348,23321
160,1437.70652838593,4432,28081,23106
161,1440.78269616065,4455,28035,23076
162,1443.8535969173,3808,27140,22227
163,1446.91922245951,4764,28074,23156
164,1449.97956505069,4213,27507,22557
165,1453.03461742229,4399,27453,22552
166,1456.08437278215,4575,27488,22605
167,1459.12882482273,4499,27295,22406
168,1462.16796772943,4282,27018,22117
169,1465.20179618889,4369,26898,21998
170,1468.23030539725,4515,26851,21943
171,1471.25349106847,4535,26846,21917
172,1474.2713494426,4143,26305,21382
173,1477.28387729408,4486,26544,21616
174,1480.29107194002,4466,26271,21364
175,1483.29293124851,4201,25997,21053
176,1486.28945364689,4559,26107,21165
177,1489.28063813004,4346,25783,20797
178,1492.26648426871,4542,25860,20823
179,1495.24699221773,4614,25849,20733
180,1498.2221627244,4337,25241,20071
181,1501.19199713668,4232,24997,19675
182,1504.15649741158,4440,25117,19598
183,1507.11566612335,4542,25087,19413
184,1510.06950647186,4372,24783,18994
185,1513.01802229082,3901,24020,18206
186,1515.96121805613,4557,24616,18691
187,1518.8990988941,4336,24200,18166
188,1521.83167058982,4419,24043,17970
189,1524.7589395954,4504,24179,18115
190,1527.68091303825,3772,23202,17184
191,1530.59759872942,4490,23778,17730
192,1533.50900517184,4418,23605,17545
193,1536.41514156864,4061,23181,17121
194,1539.31601783145,4335,23119,17096
195,1542.21164458864,4473,23286,17179
196,1545.10203319365,4564,23225,17148
197,1547.9871957333,4502,23015,16960
198,1550.86714503602,4223,22490,16434
199,1553.74189468018,4645,22898,16740
200,1556.6114590024,4318,22309,16142
201,1559.47585310578,4077,21897,15687
202,1562.33509286823,4506,22271,15966
203,1565.18919495077,4117,21722,15420
204,1568.0381768058,4684,22068,15831
205,1570.88205668538,4535,21744,15577
206,1573.72085364955,4041,21109,15032
207,1576.55458757459,4469,21327,15341
208,1579.38327916134,4663,21349,15417
209,1582.20694994347,4219,20834,14881
210,1585.02562229578,4483,20854,14956
211,1587.83931944248,4525,20752,14868
212,1590.64806546548,4666,20683,14840
213,1593.45188531269,4095,19889,14062
214,1596.25080480633,4335,19948,14130
215,1599.04485065116,4308,19782,13982
216,1601.83405044282,4539,19810,14076
217,1604.61843267612,4579,19668,13971
218,1607.39802675331,4459,19390,13711
219,1610.17286299238,4181,18916,13264
220,1612.94297263533,4268,18854,13206
221,1615.7083878565,4493,18888,13287
222,1618.46914177082,4429,18666,13082
223,1621.22526844215,4340,18417,12834
224,1623.9768028915,4500,18388,12833
225,1626.72378110538,4353,18087,12550
226,1629.46624004407,4628,18140,12606
227,1632.20421764991,4251,17534,11893
228,1634.93775285557,4350,17540,11688
229,1637.66688559238,4498,17583,11632
230,1640.3916567986,4571,17408,11595
231,1643.11210842771,4433,17155,11509
232,1645.82828345668,4335,16801,11331
233,1648.54022589432,4560,16919,11547
234,1651.24798078948,4381,16491,11244
235,1653.95159423944,4080,16066,10878
236,1656.65111339812,4374,16088,10952
237,1659.34658648442,4278,15825,10654
238,1662.03806279048,4543,15814,10683
239,1664.72559268999,4169,15280,10146
240,1667.40922764646,4260,15196,10074
241,1670.08902022155,4655,15342,10291
242,1672.76502408329,4729,15123,10233
243,1675.43729401445,4033,14261,9551
244,1678.10588592079,4695,14529,10100
245,1680.77085683932,4635,14209,9963
246,1683.43226494667,4331,13505,9433
247,1686.09016956731,4448,13173,9276
248,1688.74463118186,4309,12419,8817
249,1691.39571143539,4460,11958,8691
250,1694.0434731457,4314,11111,8198
251,1696.68798031164,4569,10642,8087
252,1699.32929812133,4355,9674,7487
253,1701.96749296055,4366,8937,7098
254,1704.60263242092,4549,8455,6901
255,1707.23478530828,4345,7725,6375
256,1709.86402165095,4248,7148,5986
