dataset,target,pre,model,n_samples,R2,RMSE,RPD,Bias
C09 blends 2026,label_claim_pct,SNV,PLSR-8,57,0.5090243890812269,7.686959441445935,1.4398374148969644,0.8018064908602934
C09 blends 2026,label_claim_pct,SNV+SG1,PLSR-8,57,0.4170406461562255,8.376136914052474,1.3213694957660993,0.43863886124833035
C09 blends 2026,label_claim_pct,SNV,SVR,57,0.7881862970832941,5.048956817751498,2.192130416262569,0.11144873570387104
C09 blends 2026,label_claim_pct,SNV+SG1,SVR,57,0.7568714321751439,5.409319403436533,2.046093230057345,0.304786216462157
C09 blends 2026,label_claim_pct,SNV,RF,57,0.7755235521535624,5.197685774215631,2.1294037945684714,0.1728289473684217
C09 blends 2026,label_claim_pct,SNV+SG1,RF,57,0.7685212767202305,5.2781310516348405,2.0969490341019763,0.3652357456140351
C05 Mendine blends 2025,label_claim_pct,SNV,PLSR-8,17,0.9450253366285591,2.8727700089746624,4.396258084858374,0.07470898855238856
C05 Mendine blends 2025,label_claim_pct,SNV+SG1,PLSR-8,17,0.9217203619635179,3.4280249429366214,3.684173420008578,0.17841862431733593
C05 Mendine blends 2025,label_claim_pct,SNV,SVR,17,0.9062088151448157,3.752326150302797,3.365762428960068,0.3492656250507923
C05 Mendine blends 2025,label_claim_pct,SNV+SG1,SVR,17,0.9148205334620049,3.575913680734973,3.5318073939910484,0.40456436007218266
C05 Mendine blends 2025,label_claim_pct,SNV,RF,17,0.9129461404132182,3.61504397118753,3.493578080530178,0.3826144556329133
C05 Mendine blends 2025,label_claim_pct,SNV+SG1,RF,17,0.9442141755268173,2.8938865202763986,4.364178860989777,0.1568506728238495
Pooled blends C05+C07+C09,label_claim_pct,SNV,PLSR-8,82,0.3889356735274718,9.312719876717212,1.2871256688623915,0.8830986190399139
Pooled blends C05+C07+C09,label_claim_pct,SNV+SG1,PLSR-8,82,0.07101781573485899,11.482508274844689,1.0439043903419143,0.6643934966773705
Pooled blends C05+C07+C09,label_claim_pct,SNV,SVR,82,0.8143684381757603,5.132854856461393,2.3352775668609804,0.09207649213253208
Pooled blends C05+C07+C09,label_claim_pct,SNV+SG1,SVR,82,0.8349347310071582,4.840173464610898,2.4764899208444664,0.31025071416795685
Pooled blends C05+C07+C09,label_claim_pct,SNV,RF,82,0.7967416366006341,5.3710263944958365,2.231722564709698,0.32276401163630075
Pooled blends C05+C07+C09,label_claim_pct,SNV+SG1,RF,82,0.8420038858143644,4.735395720753531,2.5312859805389882,0.196078330743699
C01 formulation Jan 2024,dose_mg,SNV,PLSR-8,41,0.8763417458252596,74.08827801166227,2.8790577565267226,2.765890521531765
C01 formulation Jan 2024,dose_mg,SNV+SG1,PLSR-8,41,0.869582214170074,76.086280992692,2.8034545609828414,2.348287936527613
C01 formulation Jan 2024,dose_mg,SNV,SVR,41,0.9302624626153797,55.637966553143414,3.83379272629318,-0.820977976987656
C01 formulation Jan 2024,dose_mg,SNV+SG1,SVR,41,0.960878841410866,41.671947715642325,5.118657590298251,-0.915429600280626
C01 formulation Jan 2024,dose_mg,SNV,RF,41,0.9229883428345037,58.467722881111406,3.6482424997279077,1.408231707317079
C01 formulation Jan 2024,dose_mg,SNV+SG1,RF,41,0.9408778342718287,51.22867375848563,4.163770322901484,-0.586737804878051
C02 formulation Apr 2024,dose_mg,SNV,PLSR-8,21,0.7425624333324341,30.723569851951474,2.019568967048702,-1.106116515236928
C02 formulation Apr 2024,dose_mg,SNV+SG1,PLSR-8,21,0.7740349524735365,28.78434483529255,2.155628991557822,1.3120516770901531
C02 formulation Apr 2024,dose_mg,SNV,SVR,21,0.7069793932766629,32.7781770591182,1.8929780053980683,-0.47401771851159646
C02 formulation Apr 2024,dose_mg,SNV+SG1,SVR,21,0.7540642550247012,30.02939223898416,2.0662545460844557,0.23239718385869287
C02 formulation Apr 2024,dose_mg,SNV,RF,21,0.7188698310673702,32.10623957145468,1.9325953166163015,2.008630952380951
C02 formulation Apr 2024,dose_mg,SNV+SG1,RF,21,0.7874410110592532,27.917431104050475,2.222567255514847,0.6699404761904773
C06 Mendine Exp-2 (talc varied),api_pct_ww,SNV,PLSR-8,17,0.14122205948248756,2.8609264058334967,1.1123053581258906,0.004201948963142018
C06 Mendine Exp-2 (talc varied),api_pct_ww,SNV+SG1,PLSR-8,17,0.26122262324598966,2.6535241222981822,1.1992443346082577,-0.06040377317878075
C06 Mendine Exp-2 (talc varied),api_pct_ww,SNV,SVR,17,0.47186781149073054,2.2435593618521477,1.4183818019352035,-0.07636913334184967
C06 Mendine Exp-2 (talc varied),api_pct_ww,SNV+SG1,SVR,17,0.5136420254942446,2.153001174240679,1.4780408893807278,0.04957515948874825
C06 Mendine Exp-2 (talc varied),api_pct_ww,SNV,RF,17,0.6465991593794647,1.8352702945539188,1.7339264847557054,0.003946361072887829
C06 Mendine Exp-2 (talc varied),api_pct_ww,SNV+SG1,RF,17,0.6284876225493266,1.8817108533970408,1.6911332390242613,0.055676276450077215
