c,s,y,p,fin,sim,api,v
C01,C01_S01_400mg,,91.2,0.0,0.9204,0.972,OUT OF DOMAIN 
C01,C01_S02_410mg,,91.6,0.0,0.9045,0.953,OUT OF DOMAIN 
C01,C01_S03_420mg,,91.7,0.0,0.8753,0.926,OUT OF DOMAIN 
C01,C01_S04_430mg,,91.8,0.0,0.8425,0.887,OUT OF DOMAIN 
C01,C01_S05_440mg,,91.8,0.0,0.834,0.879,OUT OF DOMAIN 
C01,C01_S06_450mg,,91.9,0.0,0.8026,0.843,OUT OF DOMAIN 
C01,C01_S07_460mg,,92.0,0.0,0.7975,0.843,OUT OF DOMAIN 
C01,C01_S08_470mg,,92.0,0.0,0.7937,0.839,OUT OF DOMAIN 
C01,C01_S09_480mg,,92.0,0.0,0.8,0.841,OUT OF DOMAIN 
C01,C01_S10_490mg,,91.8,0.0,0.7957,0.837,OUT OF DOMAIN 
C01,C01_S11_500mg,,91.9,0.0,0.805,0.844,OUT OF DOMAIN 
C01,C01_S12_510mg,,91.8,0.0,0.7908,0.83,OUT OF DOMAIN 
C01,C01_S13_520mg,,91.8,0.0,0.7951,0.834,OUT OF DOMAIN 
C01,C01_S14_530mg,,92.0,0.0,0.7729,0.813,OUT OF DOMAIN 
C01,C01_S15_540mg,,91.8,0.0,0.7945,0.832,OUT OF DOMAIN 
C01,C01_S16_550mg,,91.9,0.0,0.7602,0.799,OUT OF DOMAIN 
C01,C01_S17_560mg,,91.9,0.0,0.7793,0.818,OUT OF DOMAIN 
C01,C01_S18_570mg,,92.0,0.0,0.7831,0.822,OUT OF DOMAIN 
C01,C01_S19_580mg,,91.2,0.0,0.9109,0.958,OUT OF DOMAIN 
C01,C01_S20_590mg,,91.6,0.0,0.8727,0.914,OUT OF DOMAIN 
C01,C01_S21_600mg,,91.6,0.0,0.8416,0.884,OUT OF DOMAIN 
C01,C01_S22_610mg,,91.3,0.0,0.93,0.977,OUT OF DOMAIN 
C01,C01_S23_620mg,,91.7,0.0,0.9204,0.968,OUT OF DOMAIN 
C01,C01_S24_630mg,,91.6,0.0,0.904,0.949,OUT OF DOMAIN 
C01,C01_S25_640mg,,91.6,0.0,0.8786,0.925,OUT OF DOMAIN 
C01,C01_S26_650mg,,91.6,0.0,0.8674,0.911,OUT OF DOMAIN 
C01,C01_S27_660mg,,91.2,0.0,0.9397,0.987,OUT OF DOMAIN 
C01,C01_S28_670mg,,91.1,0.0,0.9365,0.986,OUT OF DOMAIN 
C01,C01_S29_680mg,,91.6,0.0,0.9265,0.975,OUT OF DOMAIN 
C01,C01_S30_690mg,,91.6,0.0,0.932,0.978,OUT OF DOMAIN 
C01,C01_S31_700mg,,91.8,0.0,0.9248,0.969,OUT OF DOMAIN 
C01,C01_S32_750mg,,91.6,0.0,0.9255,0.97,OUT OF DOMAIN 
C01,C01_S33_800mg,,91.6,0.0,0.9208,0.965,OUT OF DOMAIN 
C01,C01_S34_850mg,,91.6,0.0,0.9193,0.964,OUT OF DOMAIN 
C01,C01_S35_900mg,,91.6,0.0,0.922,0.967,OUT OF DOMAIN 
C01,C01_S36_950mg,,91.6,0.0,0.9201,0.964,OUT OF DOMAIN 
C01,C01_S37_1000mg,,91.7,0.0,0.9245,0.967,OUT OF DOMAIN 
C01,C01_S38_1050mg,,91.6,0.0,0.9262,0.967,OUT OF DOMAIN 
C01,C01_S39_1100mg,,91.6,0.0,0.9227,0.965,OUT OF DOMAIN 
C01,C01_S40_1150mg,,91.6,0.0,0.921,0.963,OUT OF DOMAIN 
C01,C01_S41_1200mg,,91.6,0.0,0.9259,0.969,OUT OF DOMAIN 
C02,C02_S16_550mg,,91.9,0.0,0.9409,0.986,OUT OF DOMAIN 
C02,C02_S17_560mg,,90.1,0.0,0.9376,0.987,OUT OF DOMAIN 
C02,C02_S18_570mg,,90.1,0.0,0.941,0.988,OUT OF DOMAIN 
C02,C02_S19_580mg,,89.9,0.0,0.9397,0.988,OUT OF DOMAIN 
C02,C02_S20_590mg,,89.9,0.0,0.9451,0.99,OUT OF DOMAIN 
C02,C02_S21_600mg,,89.9,0.0,0.9434,0.99,OUT OF DOMAIN 
C02,C02_S22_610mg,,90.0,0.0,0.9494,0.992,OUT OF DOMAIN 
C02,C02_S23_620mg,,89.9,0.0,0.9431,0.99,OUT OF DOMAIN 
C02,C02_S24_630mg,,89.9,0.0,0.9501,0.992,OUT OF DOMAIN 
C02,C02_S25_640mg,,90.0,0.0,0.9473,0.992,OUT OF DOMAIN 
C02,C02_S26_650mg,,89.9,0.0,0.945,0.99,OUT OF DOMAIN 
C02,C02_S27_660mg,,89.9,0.0,0.9478,0.992,OUT OF DOMAIN 
C02,C02_S28_670mg,,90.0,0.0,0.9428,0.989,OUT OF DOMAIN 
C02,C02_S29_680mg,,92.0,0.0,0.9467,0.988,OUT OF DOMAIN 
C02,C02_S30_690mg,,91.2,0.0,0.9513,0.992,OUT OF DOMAIN 
C02,C02_S31_700mg,,91.2,0.0,0.947,0.99,OUT OF DOMAIN 
C02,C02_S32_710mg,,90.3,0.0,0.9522,0.994,OUT OF DOMAIN 
C02,C02_S33_720mg,,90.2,0.0,0.9524,0.994,OUT OF DOMAIN 
C02,C02_S34_730mg,,90.3,0.0,0.9504,0.993,OUT OF DOMAIN 
C02,C02_S35_740mg,,90.1,0.0,0.9548,0.995,OUT OF DOMAIN 
C02,C02_S36_750mg,,90.5,0.0,0.9519,0.993,OUT OF DOMAIN 
C03,C03_550mg,,91.8,0.0,0.8827,0.946,OUT OF DOMAIN 
C03,C03_600mg,,94.1,0.0,0.9693,0.994,OUT OF DOMAIN 
C03,C03_650mg,,89.8,0.0,0.9625,0.998,OUT OF DOMAIN 
C05,C05_AUTO_50,100.0,93.7,0.41,0.9961,0.98,OUT OF DOMAIN 
C05,C05_AUTO_51.219,104.99784752260102,99.1,1.0,0.9961,0.984,WITHIN RANGE
C05,C05_Para_S00,,89.8,0.0,0.974,1.0,OUT OF DOMAIN 
C05,C05_Para_S01,120.02200220022002,118.8,1.0,0.9954,0.986,HIGH
C05,C05_Para_S02,117.48586341887778,116.6,1.0,0.9957,0.986,HIGH
C05,C05_Para_S03,115.00752526338422,114.7,1.0,0.9959,0.985,BORDERLINE - c
C05,C05_Para_S04,112.49468763280916,112.5,1.0,0.9958,0.984,BORDERLINE - c
C05,C05_Para_S05,109.99580008399835,110.3,1.0,0.9957,0.985,BORDERLINE - c
C05,C05_Para_S06,107.51193193608633,106.6,1.0,0.9961,0.983,BORDERLINE - c
C05,C05_Para_S07,105.0020500205002,104.2,1.0,0.9965,0.982,WITHIN RANGE
C05,C05_Para_S08,102.51113811259617,102.7,1.0,0.9963,0.983,WITHIN RANGE
C05,C05_Para_S09,100.0,99.3,1.0,0.9966,0.981,WITHIN RANGE
C05,C05_Para_S10,97.51135690302192,97.4,0.62,0.9965,0.98,WITHIN RANGE
C05,C05_Para_S10_R1,97.51135690302192,90.6,0.31,0.9944,0.978,OUT OF DOMAIN 
C05,C05_Para_S11,95.00780031201248,95.5,1.0,0.9967,0.981,WITHIN RANGE
C05,C05_Para_S12,92.49278152069297,93.1,1.0,0.9967,0.981,BORDERLINE - c
C05,C05_Para_S13,90.00570017100512,89.9,1.0,0.9968,0.98,BORDERLINE - c
C05,C05_Para_S14,87.51171948246767,87.6,1.0,0.997,0.98,BORDERLINE - c
C05,C05_Para_S15,84.97965223825379,85.3,0.75,0.9969,0.979,BORDERLINE - c
C05,C05_Para_S15_R1,84.97965223825379,86.6,0.0,0.9935,0.976,OUT OF DOMAIN 
C05,C05_Para_S16,82.48175182481752,82.3,1.0,0.997,0.976,LOW
C05,C05_Para_S17,79.98560115190784,80.5,1.0,0.9967,0.976,LOW
C05,C05_Talc_S00,,88.8,0.0,-0.3595,-0.523,OUT OF DOMAIN 
C06,C06_S01,,85.0,0.69,0.9957,0.974,LOW
C06,C06_S02,,85.6,0.81,0.9958,0.976,BORDERLINE - c
C06,C06_S03,,89.6,0.75,0.9955,0.979,BORDERLINE - c
C06,C06_S04,,88.3,0.94,0.9953,0.976,BORDERLINE - c
C06,C06_S05,,95.7,0.94,0.9961,0.98,WITHIN RANGE
C06,C06_S06,,88.6,0.81,0.9958,0.979,BORDERLINE - c
C06,C06_S07,,95.6,0.69,0.9953,0.98,WITHIN RANGE
C06,C06_S08,,96.1,0.94,0.9944,0.976,WITHIN RANGE
C06,C06_S09,,90.7,0.75,0.9952,0.982,BORDERLINE - c
C06,C06_S10,,87.7,1.0,0.9956,0.982,BORDERLINE - c
C06,C06_S11,,100.4,0.62,0.9955,0.981,WITHIN RANGE
C06,C06_S12,,93.6,0.0,0.9914,0.978,OUT OF DOMAIN 
C06,C06_S13,,95.2,0.0,0.9927,0.982,OUT OF DOMAIN 
C06,C06_S14,,97.1,0.56,0.9923,0.982,WITHIN RANGE
C06,C06_S15,,93.1,0.88,0.9926,0.99,BORDERLINE - c
C06,C06_S16,,98.1,0.56,0.9944,0.986,WITHIN RANGE
C06,C06_S17,,103.7,1.0,0.9948,0.985,WITHIN RANGE
C08,C08_IPRS_paracetamol,,89.5,0.0,0.9738,1.0,OUT OF DOMAIN 
C10,C09_S17,93.0,97.6,1.0,0.999,0.967,WITHIN RANGE
C10,C09_S18,94.0,96.2,1.0,0.9989,0.967,WITHIN RANGE
C10,C09_S20,95.5,96.7,0.6,0.9984,0.966,WITHIN RANGE
C10,C09_S22,96.5,102.5,0.25,0.9989,0.969,OUT OF DOMAIN 
C10,C09_S30,101.0,99.8,0.75,0.9993,0.97,WITHIN RANGE
C10,C09_S31,101.5,102.4,0.88,0.9995,0.972,WITHIN RANGE
C10,C09_S32,102.0,104.1,1.0,0.9993,0.97,WITHIN RANGE
C10,C09_S35,103.5,107.1,1.0,0.9995,0.974,BORDERLINE - c
C10,C09_S36,104.0,105.6,1.0,0.9995,0.971,BORDERLINE - c
C10,C09_S37,104.5,105.5,0.75,0.9994,0.972,BORDERLINE - c
C10,C09_S45,111.0,108.9,1.0,0.9994,0.974,BORDERLINE - c
C10,C09_S56,120.0,112.3,1.0,0.9991,0.977,BORDERLINE - c
C10,C09_S59,100.5,104.0,1.0,0.9993,0.971,WITHIN RANGE
