sample,camp,y,p,verdict,fin,sim
C05_Para_S02,C05,117.48586341887778,113.28841729383063,BORDERLINE - confirm by HPLC,1.0,0.9957885541171638
C05_Para_S07,C05,105.0020500205002,100.49345505990566,WITHIN RANGE,1.0,0.996502653780506
C05_Para_S12,C05,92.49278152069297,96.94188269932555,WITHIN RANGE,1.0,0.9967754481821346
C05_Para_S17,C05,79.98560115190784,83.1825814671399,LOW,0.9375,0.9967555343821155
C07_16a,C07,82.0,81.93438040016375,LOW,1.0,0.9963731962707325
C09_S02,C09,81.0,83.60723585415386,LOW,0.75,0.9974528141185854
C09_S07,C09,85.0,84.51857786281374,LOW,0.9375,0.9976898435421203
C09_S12,C09,89.0,92.73802901756034,BORDERLINE - confirm by HPLC,1.0,0.998607436415027
C09_S17,C09,93.0,101.5116479451272,WITHIN RANGE,1.0,0.9993099549504273
C09_S22,C09,96.5,96.01075766195387,WITHIN RANGE,1.0,0.9986523766383009
C09_S29,C09,99.0,99.15817280297985,WITHIN RANGE,0.875,0.9991527144228107
C09_S34,C09,103.0,104.21937957179189,WITHIN RANGE,1.0,0.9994358095842781
C09_S39,C09,106.0,107.05969367237643,BORDERLINE - confirm by HPLC,1.0,0.9990993012992169
C09_S44,C09,110.0,108.22627843903152,BORDERLINE - confirm by HPLC,1.0,0.999417243533276
C09_S49,C09,114.0,111.59298785983844,BORDERLINE - confirm by HPLC,0.75,0.9994644844807831
C09_S54,C09,118.0,113.3570310122444,BORDERLINE - confirm by HPLC,1.0,0.999329703432158
C09_S59,C09,100.5,107.20540031704564,BORDERLINE - confirm by HPLC,1.0,0.9994465700980388
C05_Para_S01,C05,120.02200220022002,113.94214882705595,BORDERLINE - confirm by HPLC,1.0,0.9955270968699887
C05_Para_S06,C05,107.51193193608633,102.84525850577646,WITHIN RANGE,1.0,0.9962777356574974
C05_Para_S11,C05,95.00780031201248,98.47495675746498,WITHIN RANGE,1.0,0.9967994261591357
C05_Para_S16,C05,82.48175182481752,81.31665081434276,LOW,1.0,0.9970968228747492
C07_15d,C07,83.0,83.05614380933586,LOW,1.0,0.9959949411547124
C09_S01,C09,80.0,85.83938055656819,BORDERLINE - confirm by HPLC,0.8125,0.9969688857095633
C09_S06,C09,84.0,92.88826237963531,BORDERLINE - confirm by HPLC,1.0,0.9983316864004741
C09_S11,C09,88.0,86.7820496171498,BORDERLINE - confirm by HPLC,1.0,0.9984183299769354
C09_S16,C09,92.5,89.956222107326,BORDERLINE - confirm by HPLC,1.0,0.9956300257210615
C09_S21,C09,96.0,99.1141360395893,WITHIN RANGE,1.0,0.9988529160548374
C09_S26,C09,98.5,101.92410207220229,WITHIN RANGE,1.0,0.9990627911490865
C09_S33,C09,102.5,103.41789724221269,WITHIN RANGE,1.0,0.9986477687816748
C09_S38,C09,105.0,102.5444699369701,WITHIN RANGE,0.875,0.9989200011712123
C09_S43,C09,109.0,104.40119595822244,WITHIN RANGE,1.0,0.9994602234954559
C09_S48,C09,113.0,111.94698459290586,BORDERLINE - confirm by HPLC,1.0,0.9993103713965796
C09_S53,C09,117.5,116.69151434891133,HIGH,1.0,0.9994131799908463
C09_S58,C09,100.0,102.65019740400257,WITHIN RANGE,1.0,0.9991433740144402
C05_Para_S05,C05,109.99580008399835,111.88372145314068,BORDERLINE - confirm by HPLC,1.0,0.9956952941723166
C05_Para_S10,C05,97.51135690302192,95.89612983767213,OUT OF DOMAIN - not a paracetamol/talc blend like the calibration set,0.0625,0.9964907554950511
C05_Para_S15,C05,84.97965223825379,88.29294137772985,BORDERLINE - confirm by HPLC,0.6875,0.9968344876973434
C07_15c,C07,83.5,99.52142406175004,WITHIN RANGE,1.0,0.9948201534785722
C07_16d,C07,80.5,82.08215612964,LOW,0.75,0.9965717641439782
C09_S05,C09,83.0,86.4642274620596,BORDERLINE - confirm by HPLC,0.5625,0.9980124054058248
C09_S10,C09,87.5,102.7367790801311,WITHIN RANGE,1.0,0.9992605352610853
C09_S15,C09,92.0,88.64028211741555,BORDERLINE - confirm by HPLC,0.8125,0.9983994189327561
C09_S20,C09,95.5,108.97648753531976,BORDERLINE - confirm by HPLC,0.9375,0.9993030860448077
C09_S25,C09,98.0,100.41870791823608,WITHIN RANGE,0.9375,0.9991470329848962
C09_S32,C09,102.0,96.42082951162259,WITHIN RANGE,0.6875,0.9991944525855805
C09_S37,C09,104.5,106.80735776832582,BORDERLINE - confirm by HPLC,0.9375,0.9994757486461534
C09_S42,C09,108.0,104.86417298222929,WITHIN RANGE,1.0,0.9988115153393764
C09_S47,C09,112.5,111.62692624580323,BORDERLINE - confirm by HPLC,1.0,0.9994036610030532
C09_S52,C09,117.0,117.9464121430876,HIGH,1.0,0.9993396892017208
