test,model,R2,RMSE,RPD,Bias
C09 -> C10 rescans,PLSR-8,0.2817732472612452,5.939001038843187,1.2281467525587868,0.45713355904681063
C09 (2026) -> C05 (2025 Mendine),PLSR-8,-96.07489050697798,120.71827571362176,0.10461910844265336,119.79803993085628
C09 (2026) -> C07 (2025 sub-samples),PLSR-8,-11371.390469880886,146.02476547156877,0.010024670162595218,145.7918077515816
C05 (2025) -> C09 (2026),PLSR-8,-3.5548689583154243,23.41329696203308,0.47272162602888057,16.163794552741894
C01 (Jan 24) -> C02 (Apr 24),PLSR-8,0.3456255033100806,48.9833967230704,1.266722448439973,13.846517141693793
C09 -> C10 rescans,SVR,0.7640055426088452,3.40434459550703,2.142545983425096,0.9016360197009907
C09 (2026) -> C05 (2025 Mendine),SVR,-0.19167689173351254,13.375155128607027,0.9442461232379615,-5.364193661769225
C09 (2026) -> C07 (2025 sub-samples),SVR,-78.55376375591705,12.213243100927142,0.11985760844404011,12.136239411329585
C05 (2025) -> C09 (2026),SVR,-0.21633109798661998,12.099029489996013,0.9147817864020243,-5.102512852194535
C01 (Jan 24) -> C02 (Apr 24),SVR,-0.45558123659580185,73.05567192799799,0.8493299232276961,-35.279908502693
C09 -> C10 rescans,RF,0.7830892058407134,3.2637974181217895,2.234809304891222,1.3395384615384616
C09 (2026) -> C05 (2025 Mendine),RF,-0.1412044495546816,13.088844163675263,0.9649009660412412,-2.1280801336853843
C09 (2026) -> C07 (2025 sub-samples),RF,-121.38877979166664,15.148563037772757,0.09663293513534633,14.943124999999998
C05 (2025) -> C09 (2026),RF,-0.16509017874165788,11.84143678024281,0.9346814931323204,-3.964080247414817
C01 (Jan 24) -> C02 (Apr 24),RF,-5.098443112824676,149.53580868928066,0.4149398647308895,129.59702380952382
C09 -> C10 rescans,KNN-3,0.6321713987184869,4.25016078800334,1.7161620943581084,2.7138088263118685
C09 (2026) -> C05 (2025 Mendine),KNN-3,-1.090914856995683,17.71690037668472,0.7128469489230604,1.310655055431351
C09 (2026) -> C07 (2025 sub-samples),KNN-3,-179.69982551617832,18.406851247370756,0.07952745908303556,16.205309669814604
C05 (2025) -> C09 (2026),KNN-3,-2.0864046519965216,19.27307726441948,0.5742711274769905,-15.132459989995576
C01 (Jan 24) -> C02 (Apr 24),KNN-3,0.011997116559202325,60.18868032514855,1.0308976354816124,13.014863855897612
